repositorio,status,tamanho_arquivos,linhas_adicionadas,linhas_removidas,tempo_analise_horas,tamanho_descricao,participantes,comentarios,revisoes
codecrafters-io/build-your-own-x,CLOSED,1,1,0,484.39,411,3,1,1
codecrafters-io/build-your-own-x,CLOSED,8,446,0,198.91,11,2,1,1
codecrafters-io/build-your-own-x,MERGED,1,2,1,35.0,0,3,1,1
codecrafters-io/build-your-own-x,CLOSED,4,119,425,2179.63,436,3,1,1
codecrafters-io/build-your-own-x,CLOSED,1,9,8,755.99,584,2,3,1
codecrafters-io/build-your-own-x,MERGED,1,2,1,4482.4,11,3,1,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,5928.26,79,2,0,1
codecrafters-io/build-your-own-x,CLOSED,1,0,5,24.76,138,3,4,1
codecrafters-io/build-your-own-x,MERGED,1,6,0,5530.33,68,2,2,1
codecrafters-io/build-your-own-x,CLOSED,2,117,0,93.49,0,4,4,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,2032.0,316,1,3,1
codecrafters-io/build-your-own-x,MERGED,1,5,0,7219.12,1250,3,9,1
codecrafters-io/build-your-own-x,CLOSED,1,18,1,917.35,332,3,4,2
codecrafters-io/build-your-own-x,MERGED,1,1,0,1.2,293,2,1,1
codecrafters-io/build-your-own-x,CLOSED,2,1,0,19.53,97,1,1,1
codecrafters-io/build-your-own-x,MERGED,1,0,1,7894.0,140,3,2,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,1.71,193,1,1,1
codecrafters-io/build-your-own-x,MERGED,1,1,0,8055.78,278,2,2,2
codecrafters-io/build-your-own-x,MERGED,1,3,0,8283.41,404,2,2,1
codecrafters-io/build-your-own-x,CLOSED,1,1,1,673.22,180,3,2,1
codecrafters-io/build-your-own-x,CLOSED,1,1,1,1174.8,34,3,0,2
codecrafters-io/build-your-own-x,CLOSED,1,1,0,1829.3,140,2,1,1
codecrafters-io/build-your-own-x,MERGED,1,1,1,168.81,12,6,2,3
codecrafters-io/build-your-own-x,CLOSED,1,2,0,54.93,91,2,0,2
codecrafters-io/build-your-own-x,CLOSED,1,1,0,17.91,0,3,0,1
codecrafters-io/build-your-own-x,CLOSED,1,3,3,11269.16,31,2,1,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,125.56,13,2,0,1
codecrafters-io/build-your-own-x,MERGED,1,1,1,637.14,142,3,0,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,22678.34,58,2,0,1
codecrafters-io/build-your-own-x,MERGED,1,1,0,15.38,109,2,0,3
codecrafters-io/build-your-own-x,MERGED,1,1,0,7.71,91,3,1,2
codecrafters-io/build-your-own-x,CLOSED,1,1,1,4901.0,0,3,1,1
codecrafters-io/build-your-own-x,MERGED,1,1,0,39.49,48,2,1,2
codecrafters-io/build-your-own-x,MERGED,1,1,0,88.36,11,4,1,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,4347.47,136,4,0,3
codecrafters-io/build-your-own-x,CLOSED,1,1,0,30912.19,72,3,6,1
codecrafters-io/build-your-own-x,CLOSED,1,1,0,15553.37,70,2,0,1
