repositorio,estrelas
codecrafters-io/build-your-own-x,492812
sindresorhus/awesome,457970
freeCodeCamp/freeCodeCamp,443379
public-apis/public-apis,425864
EbookFoundation/free-programming-books,385882
openclaw/openclaw,362401
kamranahmedse/developer-roadmap,353403
donnemartin/system-design-primer,343719
jwasham/coding-interview-university,341669
vinta/awesome-python,293842
awesome-selfhosted/awesome-selfhosted,287576
996icu/996.ICU,275923
practical-tutorials/project-based-learning,263844
facebook/react,244608
torvalds/linux,230431
TheAlgorithms/Python,220039
trimstray/the-book-of-secret-knowledge,216814
vuejs/vue,209796
ossu/computer-science,203170
trekhleb/javascript-algorithms,195867
tensorflow/tensorflow,194834
ultraworkers/claw-code,187510
ohmyzsh/ohmyzsh,186398
n8n-io/n8n,185163
getify/You-Dont-Know-JS,184433
CyC2018/CS-Notes,184241
microsoft/vscode,184151
Significant-Gravitas/AutoGPT,183675
jackfrued/Python-100-Days,181752
flutter/flutter,176073
twbs/bootstrap,174196
github/gitignore,173515
massgravel/Microsoft-Activation-Scripts,172841
avelino/awesome-go,170723
ollama/ollama,169723
obra/superpowers,164289
affaan-m/everything-claude-code,164204
AUTOMATIC1111/stable-diffusion-webui,162556
jlevy/the-art-of-command-line,160745
f/prompts.chat,160416
huggingface/transformers,159765
DigitalPlatDev/FreeDomain,158302
yt-dlp/yt-dlp,158160
Snailclimb/JavaGuide,155149
521xueweihan/HelloGitHub,152508
airbnb/javascript,148133
anomalyco/opencode,147744
langflow-ai/langflow,147263
ytdl-org/youtube-dl,140127
vercel/next.js,139091
yangshun/tech-interview-handbook,138969
Genymobile/scrcpy,138876
langgenius/dify,138786
x1xhlol/system-prompts-and-models-of-ai-tools,135790
langchain-ai/langchain,134528
golang/go,133599
open-webui/open-webui,133408
labuladong/fucking-algorithm,133318
microsoft/PowerToys,131928
Chalarangelo/30-seconds-of-code,127541
facebook/react-native,125705
krahets/hello-algo,125580
anthropics/skills,122313
kubernetes/kubernetes,121857
excalidraw/excalidraw,121729
electron/electron,120999
ripienaar/free-for-dev,120826
anthropics/claude-code,116974
nodejs/node,116867
justjavac/free-programming-books-zh_CN,116697
iptv-org/iptv,115060
microsoft/markitdown,115008
shadcn-ui/ui,112819
d3/d3,112778
rustdesk/rustdesk,112676
clash-verge-rev/clash-verge-rev,112606
rust-lang/rust,112224
mrdoob/three.js,112125
firecrawl/firecrawl,111613
Hack-with-Github/Awesome-Hacking,110826
NousResearch/hermes-agent,110580
godotengine/godot,109827
microsoft/generative-ai-for-beginners,109686
Comfy-Org/ComfyUI,109664
axios/axios,109012
microsoft/TypeScript,108630
GrowingGit/GitHub-Chinese-Top-Charts,107638
Shubhamsaboo/awesome-llm-apps,106939
denoland/deno,106513
fatedier/frp,106028
tauri-apps/tauri,105768
ggml-org/llama.cpp,105768
papers-we-love/papers-we-love,105520
goldbergyoni/nodebestpractices,105226
facebook/create-react-app,103472
2dust/v2rayN,103017
microsoft/terminal,102843
deepseek-ai/DeepSeek-V3,102729
jaywcjlove/awesome-mac,102431
google-gemini/gemini-cli,102143
supabase/supabase,101261
angular/angular,100048
Anduin2017/HowToCook,99602
pytorch/pytorch,99355
neovim/neovim,98969
mtdvio/every-programmer-should-know,98782
immich-app/immich,98401
openai/whisper,98219
mui/material-ui,98208
ant-design/ant-design,97818
fastapi/fastapi,97531
nvbn/thefuck,96664
microsoft/Web-Dev-For-Beginners,95652
tailwindlabs/tailwindcss,94694
ryanmcdermott/clean-code-javascript,94304
puppeteer/puppeteer,94166
iluwatar/java-design-patterns,93922
florinpop17/app-ideas,93310
nvm-sh/nvm,93038
deepseek-ai/DeepSeek-R1,91956
hacksider/Deep-Live-Cam,91771
rasbt/LLMs-from-scratch,91248
PanJiaChen/vue-element-admin,90295
github/spec-kit,90224
storybookjs/storybook,89772
browser-use/browser-use,89520
oven-sh/bun,89274
ruanyf/weekly,89204
bitcoin/bitcoin,88899
gin-gonic/gin,88356
ChatGPTNextWeb/NextChat,87770
gohugoio/hugo,87724
mermaid-js/mermaid,87569
django/django,87310
opencv/opencv,87210
microsoft/playwright,87065
sveltejs/svelte,86402
3b1b/manim,86219
home-assistant/core,86133
louislam/uptime-kuma,85609
microsoft/ML-For-Beginners,85387
msitarzewski/agency-agents,85369
punkpeye/awesome-mcp-servers,85368
MunGell/awesome-for-beginners,84887
modelcontextprotocol/servers,84328
laravel/laravel,84050
astral-sh/uv,83760
macrozheng/mall,83464
realworld-apps/realworld,83229
syncthing/syncthing,82912
animate-css/animate.css,82522
bregman-arie/devops-exercises,82117
DopplerHQ/awesome-interview-questions,82090
ByteByteGoHq/system-design-101,82084
sherlock-project/sherlock,81754
tonsky/FiraCode,81473
spring-projects/spring-boot,80474
garrytan/gstack,80451
Developer-Y/cs-video-courses,80436
fighting41love/funNLP,80202
vitejs/vite,80132
junegunn/fzf,79707
zed-industries/zed,79554
anuraghazra/github-readme-stats,79126
hoppscotch/hoppscotch,79008
doocs/advanced-java,78951
infiniflow/ragflow,78767
localsend/localsend,78647
mlabonne/llm-course,78588
netdata/netdata,78559
vllm-project/vllm,77738
tensorflow/models,77668
Stirling-Tools/Stirling-PDF,77602
d2l-ai/d2l-zh,77383
nomic-ai/gpt4all,77359
coder/code-server,77225
swisskyrepo/PayloadsAllTheThings,77098
openai/codex,77028
jesseduffield/lazygit,76872
MisterBooo/LeetCodeAnimation,76656
elastic/elasticsearch,76565
FortAwesome/Font-Awesome,76528
PaddlePaddle/PaddleOCR,76226
ventoy/Ventoy,76024
sdmg15/Best-websites-a-programmer-should-visit,75995
forrestchang/andrej-karpathy-skills,75991
karpathy/autoresearch,75621
typicode/json-server,75558
lobehub/lobehub,75490
nestjs/nest,75293
awesomedata/awesome-public-datasets,74148
unionlabs/union,74128
redis/redis,73960
dair-ai/Prompt-Engineering-Guide,73689
tesseract-ocr/tesseract,73668
vuejs/awesome-vue,73607
grafana/grafana,73366
twitter/the-algorithm,73046
enaqx/awesome-react,72992
CompVis/stable-diffusion,72926
